id,allelectrons_Average,density_Average,val_e_Average,atomicweight_Average,ionenergy_Average,el_neg_chi_Average,Hardness
0,10.0,0.91457,4.8,20.6125257,11.0881,2.766,6.0
1,10.0,0.7176,4.8,20.2988926326,12.04083,2.755,6.5
2,15.6,1.50633,5.6,33.739258,12.0863,2.8280000000000003,2.5
3,10.0,0.78937,4.8,20.213348778,10.9485,2.648,6.0
4,11.6,1.86481,4.8,24.988133138,11.82448,2.766,6.0
5,21.83333333333333,2.94712,4.666666666666667,50.1315,11.9482,2.858333333333333,6.0
6,10.0,0.80631,4.8,20.077018,11.023840000000002,2.727,2.0
7,6.0,0.41631,4.0,11.663548,12.41584,2.766,4.0
8,12.0,1.96268,4.8,24.808518,11.33182,2.87,6.0
9,12.8125,1.10889,5.0,24.98813313725,11.037175,2.81875,5.8
10,8.0,0.74322,4.6,16.862137999999998,11.79886,2.648,6.0
11,11.0,0.75585,4.333333333333333,22.68885333333333,12.874275000000004,2.1466666666666665,5.5
12,14.0,1.8288,4.0,31.574635600000004,9.8771,2.115,2.0
13,14.0,1.3513,4.0,24.789618,9.8771,2.115,6.0
14,10.0,0.81244,4.8,20.3920334,11.46526,2.752,3.5
15,15.6,1.96268,4.4,33.739258,10.73364,2.694,6.0
16,22.4,4.30067,5.2,53.4902975,11.33044,2.8280000000000003,2.5
17,10.0,0.53898,4.5,20.9940862215,11.100835,2.6,5.5
18,10.0,0.68424,4.8,20.2988926326,10.565180000000002,2.7030000000000003,5.5
19,24.66666666666667,3.11002,6.0,55.64164,11.239316666666667,2.736666666666667,4.5
20,10.0,0.59473,4.8,21.989468,10.565180000000002,2.755,6.0
21,35.51724137931035,6.16352,3.1724137931034484,80.07104137931034,8.786179310344828,2.165238095238095,2.5
22,0.0,0.80454,0.0,0.0,0.0,0.0,2.5
23,19.0,1.89676,4.0,39.568056,9.8771,2.455,4.0
24,7.5625,0.69605,3.71875,15.69310028,12.33182,2.6,3.8
25,9.454545454545457,0.8229,4.454545454545454,18.965812659090904,11.288818181818185,2.76454545454545,6.0
26,18.0,2.74155,4.8,39.987666666666655,12.63188,2.8355,3.8
27,42.8,5.0988,5.0,102.82756,9.1302,2.182,3.3
28,50.0,7.316,4.0,117.386335,9.65936,2.24,2.5
29,10.0,0.68417,5.0,20.016938,12.18425,2.752,3.3
30,12.0,1.76405,4.75,24.50301875,11.1479375,2.705,5.0
31,18.0,2.2928,4.4,40.689515,11.11696,2.7380000000000004,6.0
32,22.0,2.18789,4.666666666666667,50.61352,11.63995,2.8266666666666667,5.8
33,31.1,6.64,4.8,74.71870600000003,9.65936,2.0200000000000005,2.5
34,8.0,0.67922,4.8,16.862137999999998,11.509916,2.825,6.0
35,11.6,1.95335,4.8,23.231818,11.11696,2.7960000000000003,6.0
36,8.6,0.56349,4.0,17.7903568,11.43734,2.755,2.5
37,12.8,1.26278,4.8,26.385218,11.38168,2.81,6.3
38,35.36,5.50017,4.8,72.2365,10.13144,2.352,2.0
39,48.0,7.775,4.0,116.3255,10.39875,2.24,2.0
40,23.6,4.28689,4.8,49.204038,10.59066,2.7060000000000004,2.0
41,6.0,0.69207,4.0,11.7051,11.7051,2.6725000000000003,2.5
42,8.7,0.61167,4.7,16.862137999999998,11.95216,2.682,5.5
43,25.2,4.57578,5.6,58.30341800000001,11.61422,2.884,2.8
44,10.0,0.8488,5.333333333333333,20.325236749666672,11.754416666666666,2.938333333333333,6.5
45,10.0,0.86162,5.0,20.255278375,11.70255,2.79,6.3
46,21.5,1.24533,4.0,50.1811,10.0743,2.53,3.0
47,12.666666666666664,1.24267,4.666666666666667,26.621686666666665,11.354766666666668,2.806666666666666,5.8
48,12.0,0.85401,4.8,24.033618,11.17714,2.675,6.0
49,24.66666666666667,4.57578,4.666666666666667,53.05033333333333,11.795966666666668,2.8480000000000003,6.0
50,8.0,0.65972,5.0,16.583821666666665,12.415846666666669,2.77,3.5
51,50.33333333333334,0.75193,4.333333333333333,121.02273333333332,8.5318,2.043333333333333,1.8
52,10.8,0.4966,4.8,21.654418,10.59066,2.684,6.0
53,10.0,0.45291,4.0,20.9940862215,11.28095,2.455,2.3
54,9.2,0.51772,4.8,18.439538,11.79886,2.805,3.5
55,12.0,0.91457,4.625,24.514919904761907,11.1994,2.782857142857144,5.5
56,23.6,2.62853,4.8,49.204038,11.33044,2.884,6.0
57,44.0,5.00311,5.6,108.295515,10.75912,2.572,2.0
58,18.0,2.37558,4.0,37.346215,11.4348,2.79,6.0
59,10.75,1.06784,3.75,22.212725,12.18425,2.7275,5.0
60,18.0,0.37005,4.0,37.346215,8.65415,1.99,2.0
61,23.5,4.5665,4.4,49.224449375000006,11.20276,2.8340000000000005,6.0
62,15.5,1.70155,5.0,33.47491111111115,11.2869,2.786666666666666,5.5
63,10.4,0.49717,4.8,21.9893120372,10.73364,2.6184,5.5
64,8.92,0.77525,4.7,16.497559999999996,12.20004,2.8280000000000003,3.8
65,7.944444444444445,0.54957,4.388888888888889,16.210698944222223,11.467522222222224,2.688333333333333,2.5
66,10.333333333333334,1.42823,5.333333333333333,20.02735333333333,11.795966666666668,2.9266666666666663,7.0
67,7.5,0.56215,4.0,14.996859625,11.7051,2.6725000000000003,3.8
68,48.0,7.715,4.0,114.97573,8.21315,2.295,2.5
69,23.0,3.1504,4.8,49.204038,10.59066,2.644,2.8
70,12.8,1.22872,4.8,25.386556894,11.14446,2.352,3.8
71,12.8,1.83476,4.8,26.385218,11.38168,2.8240000000000003,2.5
72,22.8,3.17705,4.8,47.3154225304,11.61422,2.8240000000000003,4.5
73,12.666666666666664,1.3748,4.666666666666667,26.024935442,13.652933333333332,2.986666666666667,4.0
74,18.0,1.05605,5.0,39.466738,10.59066,2.545,7.3
75,18.0,1.42396,4.0,36.0685,8.2366,1.79,4.0
76,10.0,1.02525,4.0,20.255278375,11.026725,2.79,7.5
77,10.875,0.42774,4.625,22.206043325,10.85110625,2.6703125,3.8
78,48.0,7.66,2.0,116.3255,10.39875,2.24,3.0
79,48.0,0.45749,2.0,111.34115,8.12415,1.96,3.8
80,12.8,3.52072,4.8,26.385218,11.38168,2.81,6.0
81,24.5,4.74,4.5,53.4902975,9.8771,2.295,2.5
82,11.6,1.12352,4.8,23.170338,12.0034,2.8280000000000003,2.8
83,6.0,0.58543,4.0,11.663548,11.70255,2.58,10.0
84,21.0,4.5665,4.666666666666667,50.54252,11.706466666666666,2.806666666666666,5.8
85,23.5,3.08833,5.5,65.80676874999999,11.6604875,2.9225000000000003,1.8
86,28.1904761904762,3.47589,5.0,67.4408980952381,11.565052380952382,2.76,3.0
87,36.0,3.3354,6.0,90.2267,10.629,2.675,2.5
88,24.66666666666667,4.52755,4.0,53.05033333333333,9.159866666666668,2.18,3.8
89,12.8,2.8386,5.6,26.1647257,10.565180000000002,2.708,6.0
90,20.2,3.52072,5.6,47.3154225304,11.38168,2.81,6.0
91,12.0,1.25093,4.0,24.50301875,10.629,2.545,3.8
92,42.25,5.56317,5.375,93.8846,9.370384,2.53,3.5
93,10.0,0.73425,5.0,20.255278375,11.026725,2.79,7.5
94,10.0,0.94589,4.8,20.077018,11.33044,2.754,5.5
95,10.5,0.7176,4.8,21.654418,11.17714,2.7270000000000003,6.0
96,13.8,1.50239,4.8,27.188418,10.629,2.572,5.5
97,11.6,0.80631,4.8,22.521871850000004,11.43734,2.752,3.5
98,20.4,2.32089,4.8,43.498522,12.59399,2.8280000000000003,5.0
99,0.0,0.80212,4.0,0.0,0.026725,2.7270000000000003,6.0
100,10.83333333333336,0.74511,5.166666666666667,20.02735333333333,11.749633333333335,2.806666666666666,5.5
101,11.6,1.10889,4.8,23.170338,10.98774,2.752,6.0
102,24.5,0.99311,5.5,53.4902975,9.273855,2.295,3.8
103,50.0,0.45758,4.0,117.386335,9.01375,2.295,2.5
104,22.83333333333333,5.118,4.666666666666667,47.98568666666667,11.408266666666668,2.9266666666666663,2.8
105,13.422222222222222,2.2928,4.4444444444444455,27.60901666666668,12.053727777777777,2.986666666666667,6.0
106,12.0,1.17448,4.666666666666667,24.654186666666664,11.754416666666666,2.915,6.0
107,10.0,0.77105,4.0,20.322035645125,12.4096875,2.81875,5.3
108,6.0,0.13266,4.0,12.0096,11.2603,2.55,10.0
109,27.6,3.8764,4.8,65.80676874999999,11.026725,2.53,3.8
110,8.888888888888891,1.06784,4.4444444444444455,17.774554444444444,11.458755555555555,2.8522222222222213,8.5
111,31.1,6.46538,4.8,69.59212799999999,9.65936,1.98,2.3
112,10.0,0.70966,4.8,20.077018,11.33044,2.7060000000000004,6.0
113,18.666666666666668,2.8386,5.333333333333333,41.08166000000001,11.354766666666668,2.806666666666666,6.5
114,20.33333333333333,1.95335,4.666666666666667,46.52035333333333,11.234699999999998,2.865,4.3
115,17.713971397139716,4.57578,4.631578947368421,40.00710326190475,10.88956585365854,2.872631578947369,5.8
116,10.6,1.8288,4.8,20.2988926326,12.04083,2.752,3.8
117,9.96,0.69519,4.44,18.5465357192,12.04083,2.825,6.0
118,10.0,0.67383,4.8,20.2988926326,12.04083,2.755,5.5
119,35.36,5.50017,5.28,82.56124,9.370384,2.298,2.5
120,10.6,0.74876,4.8,20.793611398,11.33182,2.826,5.5
121,18.0,1.0359,4.0,36.0685,8.2366,1.79,4.0
122,49.0,8.795,5.0,119.6295,9.05335,2.24,2.3
123,28.8,3.26959,5.6,67.9394,10.75912,2.904,2.5
124,8.6,0.58344,4.8,17.7903568,12.59399,2.68,4.3
125,13.6,1.70601,4.8,29.568292,12.30176,2.884,3.5
126,15.2,1.15072,4.8,31.937418,11.14446,2.7740000000000005,6.0
127,10.8,0.79955,4.8,21.82420185,11.023840000000002,2.644,5.8
128,24.66666666666667,4.57578,4.4444444444444455,57.08166000000001,11.634466666666668,2.953333333333333,6.0
129,17.2,1.89676,4.8,39.466738,11.64556,2.752,5.3
130,8.88,0.48629,4.4,18.5863611398,11.33044,2.7060000000000004,6.0
131,10.0,0.51006,4.571428571428571,20.323313857142857,12.6117142857143,2.6128571428571425,2.3
132,10.0,0.93524,4.8,20.077018,11.33044,2.7960000000000003,3.8
133,4.666666666666667,0.13389,3.2,8.808713333333333,13.51252,2.668,2.3
134,31.1,3.958,5.0,70.86454624999998,9.1312,1.985,2.5
135,12.666666666666664,1.31763,4.666666666666667,26.621686666666665,11.496916666666666,2.825,6.3
136,11.6,1.7909,4.6,24.085483,12.22274,2.68,5.0
137,19.33333333333333,1.02525,4.666666666666667,39.987666666666655,11.8264,2.33,2.5
138,39.5,5.10922,5.6,93.78445,9.273855,2.279,2.8
139,20.2,1.99192,4.0,47.3154225304,12.0034,3.443,2.5
140,35.0,3.88539,5.5,83.46173333333333,9.6769,2.295,2.8
141,14.5,1.47116,5.166666666666667,30.645953666333327,11.522283333333334,2.865,4.8
142,11.3,0.93396,4.75,22.212725,10.93895,2.755,6.8
143,14.333333333333336,1.35155,5.333333333333333,30.61252,11.354766666666668,2.806666666666666,5.5
144,10.0,0.94771,4.8,20.2988926326,11.33044,2.682,6.0
145,10.0,1.0804,4.8,20.016938,12.30176,2.774,5.5
146,22.4,4.57578,4.8,50.1811,10.993994000000002,2.757,5.5
147,10.0,0.67383,4.8,20.2988926326,11.17714,2.755,5.5
148,12.666666666666664,1.96268,5.333333333333333,26.024935442,13.652933333333332,2.9266666666666663,4.8
149,50.33333333333334,7.715,4.666666666666667,121.02273333333332,8.604266666666666,2.073333333333333,2.5
150,10.0,0.7176,4.8,20.2988926326,12.04083,2.755,5.5
151,19.33333333333333,1.36058,4.0,39.987666666666655,9.5408,2.33,5.8
152,25.88888888888889,4.5665,4.4444444444444455,57.08166000000001,11.132102222222226,2.8377777777777777,6.0
153,9.761904761904765,0.8229,4.714285714285714,19.681982919523808,11.65177619047619,2.813809523809524,5.8
154,41.0,6.31755,4.0,95.225235,9.08885,2.28,2.5
155,9.857142857142858,0.81739,4.571428571428571,18.5863611398,11.38162857142858,2.661428571428572,7.8
156,14.0,1.05428,5.0,30.61252,10.6397,2.8680000000000003,7.5
157,7.5,2.28126,4.0,14.996859625,11.7051,2.6725000000000003,2.5
158,12.6,1.03881,4.8,24.789618,11.023840000000002,2.644,6.0
159,22.4,2.04102,5.6,53.441338,12.0863,2.934,3.3
160,7.4,0.4325,4.4,15.69310028,10.73364,2.7380000000000004,6.8
161,21.83333333333333,4.52755,4.666666666666667,50.1315,11.8264,2.8316666666666666,6.0
162,25.33333333333333,2.74155,4.666666666666667,55.64164,11.667433333333332,2.8716666666666666,4.8
163,12.666666666666664,1.05333,5.333333333333333,26.024935442,13.652933333333332,2.986666666666667,4.0
164,10.0,1.89676,4.285714285714286,20.323313857142857,10.421514285714286,2.6871428571428573,2.5
165,19.33333333333333,1.9368,5.333333333333333,39.987666666666655,9.2708,2.3816666666666664,4.8
166,31.5,6.5225,4.25,70.86454624999998,9.251425,1.985,2.0
167,10.0,0.75193,5.333333333333333,20.766935442,11.75455,2.9266666666666663,6.0
168,11.6,0.71879,4.8,23.231818,11.023840000000002,2.644,4.8
169,20.0,4.4815,4.0,43.498522,10.0743,2.115,3.8
170,21.83333333333333,4.57578,4.333333333333333,49.50308166666667,11.711716666666668,2.9466666666666668,6.5
171,22.0,1.86581,5.0,48.7195,12.0863,2.33,3.5
172,12.0,1.54573,4.8,24.033618,12.63188,2.5660000000000003,3.8
173,13.333333333333336,1.05333,4.666666666666667,27.95135333333333,11.33182,2.855,6.3
174,16.285714285714285,2.2928,4.285714285714286,34.43801714285714,11.381628571428571,2.724285714285714,6.0
175,20.666666666666668,4.30067,5.0,46.44374833333333,11.674016666666668,2.901666666666667,5.5
176,10.0,0.70941,4.78125,20.18188193025,10.988671875,2.6118750000000004,5.5
177,24.444444444444446,4.57578,4.666666666666667,57.08166000000001,11.634466666666668,2.83,6.0
178,24.5,1.86069,5.0,68.16233625,11.6104,2.8487500000000003,6.5
179,10.0,0.6267,5.0,20.15577185,11.64556,2.825,4.3
180,23.0,5.325,4.0,48.7195,9.706,2.295,2.5
181,14.4,0.26619,4.8,31.574635600000004,10.75912,2.684,6.3
182,10.0,1.86069,5.333333333333333,20.325236749666672,12.602366666666668,2.98,4.0
183,10.8,0.67922,4.8,20.077018,11.33044,2.7060000000000004,5.5
184,18.0,0.85549,4.0,37.346215,10.629,2.67,5.5
185,14.4,1.027,4.8,30.341818,10.629,2.694,5.5
186,24.66666666666667,4.5665,4.333333333333333,50.1315,11.33182,2.77,3.0
187,7.5,0.7901,4.0,14.996859625,11.7051,2.6725000000000003,4.0
188,10.545454545454543,0.51006,4.909090909090909,21.21188622727273,11.2520375,2.69545454545455,5.3
189,11.0,1.03544,4.8,24.789618,11.61422,2.752,6.0
